,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,state,date
10212,10212,09:02:40,36.0,-89.5,,3.9,fa,,,,,ushis,ushis2025,2018-06-04T20:43:44.000Z,Tennessee,earthquake,,,,,reviewed,ushis,sc,Tennessee,1955-03-29
10213,10213,07:24:40,36.073,-89.82700000000001,8.0,4.4,fa,,,,,ushis,ushis2012,2018-06-04T20:43:44.000Z,Missouri,earthquake,,,,,reviewed,ushis,sc,Missouri,1955-01-25
10214,10214,03:25:00,36.6,-83.7,,4.3,fa,,,,,ushis,ushis1908,2018-06-04T20:43:44.000Z,eastern Kentucky,earthquake,,,,,reviewed,ushis,sc, Kentucky,1954-01-02
10216,10216,03:34:29,35.41300000000001,-90.254,1.0,4.8,fa,,,,,ushis,ushis1210,2018-06-04T20:43:44.000Z,Arkansas,earthquake,,,,,reviewed,ushis,dg,Arkansas,1938-09-17
10217,10217,00:47:27,36.95,-89.2,,4.7,fa,,,,,ushis,ushis1077,2018-06-04T20:43:44.000Z,Missouri,earthquake,,,,,reviewed,ushis,sc,Missouri,1934-08-20
10218,10218,04:02:50,36.112,-82.82799999999997,5.0,4.5,lg,,,,,ushis,ushis794,2018-06-04T20:43:44.000Z,eastern Tennessee,earthquake,,,,,reviewed,ushis,dg,Tennessee,1928-11-03
10219,10219,08:28:00,35.8,-90.4,,4.8,fa,,,,,ushis,ushis763,2018-06-04T20:43:44.000Z,Arkansas,earthquake,,,,,reviewed,ushis,bar,Arkansas,1927-05-07
10221,10221,03:05:00,36.0,-90.0,,4.5,fa,,,,,ushis,ushis700,2018-06-04T20:43:44.000Z,Arkansas,earthquake,,,,,reviewed,ushis,sc,Arkansas,1924-01-01
10222,10222,17:10:00,35.5,-90.4,,4.8,fa,,,,,ushis,ushis695,2018-06-04T20:43:44.000Z,Arkansas,earthquake,,,,,reviewed,ushis,sc,Arkansas,1923-10-28
10223,10223,02:15:00,36.0,-89.2,,4.5,fa,,,,,ushis,ushis641,2018-06-04T20:43:44.000Z,Tennessee,earthquake,,,,,reviewed,ushis,sg,Tennessee,1918-10-16
10225,10225,23:39:00,35.5,-82.5,,5.2,fa,,,,,ushis,ushis587,2018-06-04T20:43:44.000Z,North Carolina,earthquake,,,,,reviewed,ushis,sc, Carolina,1916-02-21
10226,10226,18:40:00,36.0,-90.0,,4.5,fa,,,,,ushis,ushis580,2018-06-04T20:43:44.000Z,Arkansas,earthquake,,,,,reviewed,ushis,bar,Arkansas,1915-12-07
10227,10227,21:50:00,36.2,-83.7,,4.1,fa,,,,,ushis,ushis545,2018-06-04T20:43:44.000Z,eastern Tennessee,earthquake,,,,,reviewed,ushis,sc,Tennessee,1913-03-28
10228,10228,18:28:00,34.7,-81.7,,4.8,fa,,,,,ushis,ushis544,2018-06-04T20:43:44.000Z,South Carolina,earthquake,,,,,reviewed,ushis,sc, Carolina,1913-01-01
10229,10229,07:10:00,37.0,-89.5,,4.5,fa,,,,,ushis,ushis494,2018-06-04T20:43:44.000Z,Missouri,earthquake,,,,,reviewed,ushis,bar,Missouri,1909-10-23
10230,10230,19:14:00,36.5,-89.8,,5.1,fa,,,,,ushis,ushis423,2018-06-04T20:43:44.000Z,Missouri,earthquake,,,,,reviewed,ushis,sc,Missouri,1903-11-04
10231,10231,18:18:00,36.5,-89.5,,4.6,fa,,,,,ushis,ushis422,2018-06-04T20:43:44.000Z,Tennessee,earthquake,,,,,reviewed,ushis,sc,Tennessee,1903-11-04
